Polynomial3D   Cubic Interpolation Search 

H = 0.666667, Tol = 0.001000, Nfm = 100, Nim = 100, Tm = 10.000
------------------------------------------------------------------------
 Ni    Nb    Nf      H         Dx        F1         x1		   State   
------------------------------------------------------------------------
  80    8   85    0.41026     0.0000     0.00000     0.00000	target non reached
  81    8   86    0.41026     0.0000     0.00000     0.00000	target non reached
  82    8   87    0.41026     0.0000     0.00000     0.00000	target non reached
  83    8   88    0.41026     0.0000     0.00000     0.00000	target non reached
  84    8   89    0.41026     0.0000     0.00000     0.00000	target non reached
  85    8   90    0.41026     0.0000     0.00000     0.00000	target non reached
  86    8   91    0.41026     0.0000     0.00000     0.00000	target non reached
  87    8   92    0.41026     0.0000     0.00000     0.00000	target non reached
  88    8   93    0.41026     0.0000     0.00000     0.00000	target non reached
  89    8   94    0.41026     0.0000     0.00000     0.00000	target non reached
  90    8   95    0.41026     0.0000     0.00000     0.00000	target non reached
  91    8   96    0.41026     0.0000     0.00000     0.00000	target non reached
  92    8   97    0.41026     0.0000     0.00000     0.00000	target non reached
  93    8   98    0.41026     0.0000     0.00000     0.00000	target non reached
  94    8   99    0.41026     0.0000     0.00000     0.00000	target non reached
  95    8   100    0.41026     0.0000     0.00000     0.00000	target non reached
  95    8   100    0.41026     0.0000     0.00000     0.00000	end
------------------------------------------------------------------------
Type Exit: 2 
Reached the allowed number of function evaluations
Ni = 95, Nf = 100, T = 0.001 sec
x = 0.000000000000
Fx = 0.000000000000

Exp: 
x = 0.000000000000e+000
Fx = 0.000000000000e+000
