Parabola ó=õ^2   Quadratic Interpolation Search 

H = 0.666667, Tol = 0.001000, Nfm = 100, Nim = 100, Tm = 10.000
------------------------------------------------------------------------
 Ni    Nb    Nf      H         Dx        F1         x1		   State   
------------------------------------------------------------------------
  80    3   84    4.00000     0.0000     0.00000     0.00000	target non reached
  81    3   85    4.00000     0.0000     0.00000     0.00000	target non reached
  82    3   86    4.00000     0.0000     0.00000     0.00000	target non reached
  83    3   87    4.00000     0.0000     0.00000     0.00000	target non reached
  84    3   88    4.00000     0.0000     0.00000     0.00000	target non reached
  85    3   89    4.00000     0.0000     0.00000     0.00000	target non reached
  86    3   90    4.00000     0.0000     0.00000     0.00000	target non reached
  87    3   91    4.00000     0.0000     0.00000     0.00000	target non reached
  88    3   92    4.00000     0.0000     0.00000     0.00000	target non reached
  89    3   93    4.00000     0.0000     0.00000     0.00000	target non reached
  90    3   94    4.00000     0.0000     0.00000     0.00000	target non reached
  91    3   95    4.00000     0.0000     0.00000     0.00000	target non reached
  92    3   96    4.00000     0.0000     0.00000     0.00000	target non reached
  93    3   97    4.00000     0.0000     0.00000     0.00000	target non reached
  94    3   98    4.00000     0.0000     0.00000     0.00000	target non reached
  95    3   99    4.00000     0.0000     0.00000     0.00000	target non reached
  96    3   100    4.00000     0.0000     0.00000     0.00000	target non reached
  96    3   100    4.00000     0.0000     0.00000     0.00000	end
------------------------------------------------------------------------
Type Exit: 2 
Reached the allowed number of function evaluations
Ni = 96, Nf = 100, T = 0.001 sec
x = 0.000000000000
Fx = 0.000000000000

Exp: 
x = 0.000000000000e+000
Fx = 0.000000000000e+000
